Name,Type,Calories_Cal,Fat_Cal,Fat_g,Fat_percentage,Sat_Fat_g,Sat_Fat_percentage,Trans_Fat_percentage,Chol_mg,Chol_percentage,Sodium_mg,Sodium_Percentage,Potassium_mg,Potassium_percentage,Carbs_g,Carbs_percentage,Dietary_Fiber_g,Dietary_Fiber_percentage,Sugars_g,Protein_g,Calcium_percentage,Iron_percentage,Restaurant
Avocado,addon,113,90,10.0,16%,1.5,8%,0.0,0,0%,0,0%,340,7%,6,2%,5,17%,0,1,0%,2%,Pitchforks
Bacon,side,390,342,38.0,59%,13.0,64%,0.0,60,19%,710,30%,180,4%,< 1,0%,0,0%,0,10,0%,2%,Pitchforks
Beef Burger,main,427,252,28.0,43%,10.0,52%,1.5,145,49%,140,6%,580,12%,0,0%,0,0%,0,42,4%,25%,Pitchforks
Blueberries,addon,43,4,0.5,1%,0.0,0%,0.0,0,0%,0,0%,0,0%,10,3%,2,9%,8,< 1,0%,0%,Pitchforks
Breakfast Biscuit,side,248,99,11.0,18%,8.0,40%,0.0,0,0%,710,30%,0,0%,29,10%,< 1,3%,3,5,6%,8%,Pitchforks
Breakfast Quesadilla,main,944,531,59.0,91%,30.0,151%,0.0,520,173%,1590,66%,460,10%,57,19%,1,5%,8,44,70%,10%,Pitchforks
Breakfast Taco,main,366,225,25.0,39%,9.0,47%,0.0,430,143%,430,18%,280,6%,12,4%,3,9%,5,23,30%,15%,Pitchforks
Broccoli,side,59,4,0.5,1%,0.0,1%,0.0,0,0%,490,20%,490,11%,12,4%,6,20%,2,4,6%,6%,Pitchforks
Cheddar Cheese Slice,addon,81,63,7.0,11%,4.0,20%,0.0,20,7%,135,6%,0,0%,0,0%,0,0%,0,5,15%,0%,Pitchforks
Cheese Breakfast Scramble,main,420,297,33.0,51%,14.0,72%,0.0,455,151%,570,24%,150,3%,3,1%,0,0%,0,28,6%,10%,Pitchforks
Chocolate Chips,addon,265,135,15.0,23%,9.0,47%,0.0,0,0%,0,0%,0,0%,38,13%,4,14%,30,4,2%,8%,Pitchforks
Corned Beef,side,177,81,9.0,14%,2.5,13%,0.0,75,25%,1440,60%,0,0%,0,0%,0,0%,0,23,0%,0%,Pitchforks
Dried Cranberries,addon,298,18,2.0,3%,0.0,0%,0.0,0,0%,0,0%,0,0%,72,24%,4,15%,64,0,0%,0%,Pitchforks
Egg Your Way,main,190,126,14.0,22%,4.0,21%,0.0,390,129%,200,8%,150,3%,< 1,0%,0,0%,0,13,6%,10%,Pitchforks
Fried Chicken Breast,main,180,81,9.0,14%,2.0,10%,0.0,50,17%,790,33%,0,0%,8,3%,0,0%,2,18,0%,0%,Pitchforks
Fried Egg BLT,main,568,306,34.0,52%,10.0,51%,0.0,95,31%,980,41%,320,7%,47,16%,3,10%,5,18,15%,20%,Pitchforks
Gala Apple Half,side,46,0,0.0,0%,0.0,0%,0.0,0,0%,0,0%,0,0%,12,4%,2,6%,9,0,0%,0%,Pitchforks
Grilled Chicken,side,141,27,3.0,4%,1.0,4%,0.0,100,33%,40,2%,290,6%,0,0%,0,0%,0,27,0%,2%,Pitchforks
Grilled Onion,addon,41,18,2.0,3%,0.0,1%,0.0,0,0%,320,13%,90,2%,5,2%,< 1,3%,2,< 1,2%,0%,Pitchforks
Grilled Salmon,side,294,126,14.0,22%,2.5,12%,0.0,85,29%,630,26%,700,15%,0,0%,0,0%,0,39,2%,4%,Pitchforks
Ham,side,135,40,4.5,7%,2.0,10%,0.0,60,20%,1320,55%,0,0%,0,0%,0,0%,3,19,0%,0%,Pitchforks
Ham and Cheese Breakfast Scramble,main,479,315,35.0,54%,15.0,77%,0.0,470,156%,1230,51%,150,3%,3,1%,0,0%,2,37,6%,10%,Pitchforks
Honey,addon,243,0,0.0,0%,0.0,0%,0.0,0,0%,0,0%,0,0%,69,23%,0,0%,65,0,0%,0%,Pitchforks
Jalapeno,addon,13,0,0.0,0%,0.0,0%,0.0,0,0%,5,0%,0,0%,2,1%,0,0%,0,< 1,0%,2%,Pitchforks
Lettuce,addon,4,0,0.0,0%,0.0,0%,0.0,0,0%,10,0%,55,1%,< 1,0%,0,1%,0,0,2%,2%,Pitchforks
Lime,addon,1,0,0.0,0%,0.0,0%,0.0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%,Pitchforks
Lime Sour Cream Sauce,addon,106,81,9.0,13%,6.0,30%,0.0,35,12%,200,8%,110,2%,4,1%,0,0%,3,2,6%,0%,Pitchforks
Meatballs,side,405,333,37.0,58%,15.0,76%,1.5,85,29%,530,22%,0,0%,4,1%,1,4%,0,15,6%,10%,Pitchforks
Mushroom,side,20,0,0.0,0%,0.0,0%,0.0,0,0%,15,1%,0,0%,3,1%,1,4%,0,3,0%,0%,Pitchforks
Oatmeal,main,175,14,1.5,2%,0.0,1%,0.0,0,0%,10,0%,210,5%,39,13%,6,23%,0,6,2%,10%,Pitchforks
Onion,addon,25,0,0.0,0%,0.0,0%,0.0,0,0%,0,0%,95,2%,6,2%,< 1,3%,3,< 1,2%,0%,Pitchforks
Pancakes,main,592,270,30.0,47%,4.0,19%,0.0,0,0%,1090,45%,140,3%,75,25%,2,9%,14,12,0%,0%,Pitchforks
Pickle,addon,10,0,0.0,0%,0.0,0%,0.0,0,0%,790,33%,0,0%,0,0%,0,0%,0,0,0%,0%,Pitchforks
Pico de Gallo,addon,12,0,0.0,0%,0.0,0%,0.0,0,0%,0,0%,120,3%,2,1%,0,0%,2,0,0%,0%,Pitchforks
Pork Sausage,side,230,171,19.0,30%,6.0,31%,0.0,60,20%,580,24%,240,5%,1,0%,0,0%,< 1,13,0%,4%,Pitchforks
Pulled Pork Barbecue,side,278,99,11.0,18%,5.0,25%,0.0,100,34%,680,29%,0,0%,5,2%,0,0%,5,30,0%,0%,Pitchforks
Raisins,side,254,0,0.0,1%,0.0,0%,0.0,0,0%,10,0%,640,14%,67,22%,3,11%,50,3,4%,8%,Pitchforks
Salsa Roja,addon,12,0,0.0,0%,0.0,0%,0.0,0,0%,80,3%,20,0%,2,1%,0,1%,1,0,0%,0%,Pitchforks
Shredded Mozzarella Cheese,addon,364,252,28.0,44%,18.0,91%,0.0,80,27%,770,32%,0,0%,8,3%,0,0%,0,24,0%,0%,Pitchforks
Sliced Banana,addon,74,0,0.0,0%,0.0,0%,0.0,0,0%,0,0%,0,0%,20,7%,2,7%,13,< 1,0%,0%,Pitchforks
Sliced Strawberries,addon,29,0,0.0,0%,0.0,0%,0.0,0,0%,0,0%,0,0%,6,2%,0,0%,5,< 1,0%,0%,Pitchforks
Spanish Breakfast Scramble,main,603,423,47.0,72%,20.0,99%,0.0,480,160%,970,40%,260,6%,7,2%,0,0%,3,37,6%,10%,Pitchforks
Spinach,addon,39,4,0.5,1%,0.0,1%,0.0,0,0%,135,6%,950,20%,6,2%,4,13%,< 1,5,15%,25%,Pitchforks
Steak,main,121,36,4.0,6%,1.5,9%,0.0,40,13%,30,1%,0,0%,0,0%,0,0%,0,20,0%,0%,Pitchforks
Swiss Cheese Slice,addon,81,54,6.0,9%,4.0,20%,0.0,25,8%,20,1%,0,0%,1,0%,0,0%,0,6,20%,0%,Pitchforks
Tomato,addon,14,0,0.0,0%,0.0,0%,0.0,0,0%,10,0%,0,0%,3,1%,< 1,2%,0,< 1,0%,2%,Pitchforks
Turkey,side,101,9,1.0,2%,0.0,0%,0.0,40,13%,970,41%,0,0%,2,1%,0,0%,0,20,0%,0%,Pitchforks
Turkey Bacon,side,209,135,15.0,23%,4.0,20%,0.0,85,29%,1150,48%,380,8%,2,1%,0,0%,2,17,10%,8%,Pitchforks
Turkey Sausage,side,110,72,8.0,13%,2.5,13%,0.0,45,15%,320,14%,0,0%,0,0%,0,0%,0,8,0%,0%,Pitchforks
Veggie Breakfast Scramble,main,426,297,33.0,50%,14.0,72%,0.0,435,146%,620,26%,270,6%,6,2%,1,4%,2,28,8%,10%,Pitchforks
Veggie Mix,side,10,0,0.0,0%,0.0,0%,0.0,0,0%,35,2%,85,2%,2,1%,< 1,3%,1,0,0%,0%,Pitchforks
Veggie Patty,addon,129,45,5.0,8%,0.5,2%,0.0,0,0%,390,16%,120,3%,8,3%,4,14%,4,16,4%,6%,Pitchforks
Wheat Toast,side,240,27,3.0,5%,0.0,0%,0.0,0,0%,420,18%,110,2%,44,15%,2,7%,4,8,15%,15%,Pitchforks
White Toast,side,130,14,1.5,2%,0.0,0%,0.0,0,0%,250,10%,40,1%,24,8%,0,0%,0,5,8%,8%,Pitchforks
Arugula Salad,side,518,333,37.0,57%,15.0,74%,0.0,30,10%,520,22%,20,0%,39,13%,4,15%,31,14,0%,0%,Pitchforks
Barbecue Sauce,addon,97,0,0.0,0%,0.0,0%,0.0,0,0%,650,27%,0,0%,24,8%,0,0%,16,2,0%,0%,Pitchforks
Black Angus Burger,main,723,306,34.0,53%,13.0,67%,1.5,170,57%,550,23%,740,16%,44,15%,2,7%,9,56,6%,30%,Pitchforks
Buffalo Sauce,addon,0,0,0.0,0%,0.0,0%,0.0,0,0%,1810,76%,0,0%,0,0%,0,0%,0,0,0%,0%,Pitchforks
Cackalacky Sauce,addon,39,0,0.0,0%,0.0,0%,0.0,0,0%,440,18%,0,0%,8,3%,0,0%,5,0,0%,0%,Pitchforks
California Club Salad,main,965,657,73.0,112%,14.0,70%,0.0,180,59%,2330,97%,1150,25%,31,10%,7,24%,2,51,8%,15%,Pitchforks
Carne Asada,main,121,36,4.0,6%,1.5,8%,0.0,40,13%,30,1%,0,0%,0,0%,0,0%,0,20,0%,0%,Pitchforks
Carnitas,side,111,40,4.5,7%,2.0,10%,0.0,40,13%,270,11%,0,0%,2,1%,0,0%,2,12,0%,0%,Pitchforks
Chicken,side,124,63,7.0,11%,2.0,10%,0.0,40,14%,270,11%,115,2%,0,0%,0,0%,0,13,0%,4%,Pitchforks
Chicken Pomme Frites,main,1124,477,53.0,82%,15.0,77%,0.0,255,84%,4170,174%,700,15%,52,17%,5,17%,10,85,4%,25%,Pitchforks
Chicken Wings,main,1122,666,74.0,115%,22.0,110%,0.0,625,208%,3190,133%,940,20%,0,0%,0,0%,0,105,8%,20%,Pitchforks
Chorizo,side,179,126,14.0,22%,5.0,28%,0.0,40,14%,410,17%,0,0%,2,1%,0,0%,< 1,10,0%,0%,Pitchforks
E Tu Caesar Salad,main,697,477,53.0,82%,17.0,87%,0.0,80,27%,1660,69%,530,11%,32,11%,7,24%,2,31,60%,10%,Pitchforks
Falafel Sandwich on Whole Wheat Pita,main,814,315,35.0,54%,6.0,30%,0.0,0,0%,1010,42%,1180,25%,97,32%,5,19%,3,31,10%,35%,Pitchforks
Flat Iron Steak,main,291,126,14.0,22%,6.0,31%,0.0,140,46%,3000,125%,670,14%,0,0%,0,0%,0,40,2%,30%,Pitchforks
Fried Chicken Sandwich,main,721,405,45.0,69%,9.0,45%,0.0,80,27%,1370,57%,45,1%,52,17%,2,6%,11,27,2%,2%,Pitchforks
Fries,side,266,18,2.0,3%,2.0,9%,0.0,0,0%,2170,91%,0,0%,40,13%,4,14%,2,4,0%,0%,Pitchforks
Greens Side Salad,side,115,63,7.0,11%,1.0,5%,0.0,0,0%,400,17%,0,0%,12,4%,1,4%,8,1,0%,0%,Pitchforks
Grilled Cheese Sandwich,main,827,540,60.0,92%,36.0,182%,0.0,150,51%,1050,44%,80,2%,48,16%,0,0%,0,30,80%,15%,Pitchforks
Grilled Chicken Sandwich,main,495,99,11.0,16%,3.5,17%,0.0,165,55%,560,24%,520,11%,44,15%,2,6%,9,53,2%,6%,Pitchforks
Grilled Quesadilla,main,775,396,44.0,68%,28.0,139%,0.0,115,39%,1600,67%,190,4%,62,21%,1,5%,6,35,8%,2%,Pitchforks
Kale Salad,side,550,324,36.0,56%,6.0,28%,0.0,0,0%,330,14%,720,15%,51,17%,10,34%,23,13,25%,10%,Pitchforks
Mac and Cheese Bites,side,985,585,65.0,101%,21.0,105%,0.0,120,40%,3210,134%,0,0%,74,25%,3,11%,5,26,4%,0%,Pitchforks
